SITE,SITE_ID,SURVEY_OPS,VYG_OPN_NO,GEAR,DEPLOYED_TIME,ON_BOTTOM_TIME,Gear_Long_S,Gear_Lat_S,Gear_Long_E,Gear_Lat_E,BottomDepth_start,BottomDepth_end,Planning_Design,Habitat Hyp NOTE,location Match to planned,PLAN_cluster_original,PLAN_point_original,PLAN_x,PLAN_y,PLAN_TOD,Annotation
N21,N21.3,IN2023_V05_197,197,CTD,22/07/2023 19:53,22/07/2023 20:04,149.153787,-38.216719,,,164,,Station,,good,17,1,149.1470958,-38.22851,day,
N21,N21.3,IN2023_V05_198,198,McKenna Trawl,22/07/2023 20:39,22/07/2023 21:05,149.154564,-38.216301,149.123259,-38.227683,180.8,169.7,Station,,good,17,1,149.1470958,-38.22851,day,
N21,N21.1,IN2023_V05_199,199,McKenna Trawl,23/07/2023 0:06,23/07/2023 0:47,149.033157,-38.295526,149.001344,-38.307952,460.5,440.4,Station,,off mark,17,3,149.1037422,-38.28670492,day,
N21,N21.1,IN2023_V05_200,200,CTD,23/07/2023 2:42,,148.939132,-38.326358,,,465,,Station,,off mark,17,3,149.1037422,-38.28670492,day,
N22,N22.1,IN2023_V05_194,194,Deep Towed Camera,22/07/2023 14:36,22/07/2023 14:44,149.29789,-38.17862,149.28473,-38.19233,203,239.6,Station,design_legacy,off mark (video overlapping old trawl SS199405_082),1,1,149.2016358,-38.29489198,night,
N22,N22.1,IN2023_V05_195,195,Multinet,22/07/2023 16:21,,149.273747,-38.19997,,,244,,Station,,off mark (video overlapping old trawl SS199405_082),1,1,149.2016358,-38.29489198,night,
N22,N22.1,IN2023_V05_196,196,CTD,22/07/2023 17:15,22/07/2023 17:25,149.259964,-38.209435,,,241,,Station,,off mark (video overlapping old trawl SS199405_082),1,1,149.2016358,-38.29489198,night,
N23,N23.2,IN2023_V05_186,186,CTD,21/07/2023 20:01,21/07/2023 20:10,149.295507,-38.206941,,,267,,Station,,good,SS199305_178,1996,149.293335,-38.20667,day,
N23,N23.2,IN2023_V05_187,187,McKenna Trawl,21/07/2023 20:55,21/07/2023 21:30,149.304733,-38.204931,149.277961,-38.219915,300.9,295.5,Station,,good,SS199305_178,1996,149.293335,-38.20667,day,
N23,N23.1,IN2023_V05_188,188,McKenna Trawl,22/07/2023 0:15,22/07/2023 0:55,149.326626,-38.211941,149.309334,-38.228014,345.1,343.9,Station,,off mark,SS199305_174,1997,149.275,-38.19833,day,
N23,N23.1,IN2023_V05_189,189,CTD,22/07/2023 2:46,22/07/2023 2:59,149.273028,-38.274606,,,441,,Station,,off mark,SS199305_174,1997,149.275,-38.19833,day,
N23,N23.1,IN2023_V05_190,190,Multinet,22/07/2023 3:42,,149.270577,-38.274661,,,429,,Station,,off mark,SS199305_174,1997,149.275,-38.19833,day,
N23,N23.3,IN2023_V05_191,191,McKenna Trawl,22/07/2023 6:21,22/07/2023 6:45,149.332491,-38.105528,149.305499,-38.12651,170.2,136.9,Station,,good,"SS199606_208, SS199606_221",2501,149.340835,-38.107505,day,
N25,N25.3,IN2023_V05_178,178,McKenna Trawl,19/07/2023 4:20,19/07/2023 4:45,149.365836,-37.882569,149.335802,-37.890866,126.6,81.52,Station,,good,7,1,149.3809246,-37.87954571,day,
N25,N25.1,IN2023_V05_179,179,Multinet,19/07/2023 6:10,,149.304198,-37.896248,,,116,,Station,,good,7,3,149.2895541,-37.90382424,day,
N25,N25.1,IN2023_V05_180,180,CTD,19/07/2023 7:02,,149.29269,-37.902277,,,116,,Station,,good,7,3,149.2895541,-37.90382424,day,
N26,N26.1,IN2023_V05_192,192,Deep Towed Camera,22/07/2023 9:04,22/07/2023 9:10,149.471471,-38.106225,149.441859,-38.125081,158.4,453.1,Station,design_legacy,good,SS200404_093,6097,149.45331,-38.108445,night,
N26,N26.2,IN2023_V05_193,193,Deep Towed Camera,22/07/2023 11:44,22/07/2023 11:50,149.515809,-38.128975,149.486136,-38.147898,157.7,446.9,Station,design_legacy,good,SS200404_092,4980,149.492855,-38.13553,night,
N27,N27.1,IN2023_V05_173,173,CTD,17/07/2023 20:07,17/07/2023 20:16,149.637314,-38.13588,,,163,,Station,,ok,SS199606_234,2004,149.60017,-38.165,day,
N27,N27.1,IN2023_V05_174,174,McKenna Trawl,17/07/2023 20:54,17/07/2023 21:20,149.594855,-38.129719,149.562936,-38.124298,175.8,175.1,Station,,ok,SS199606_234,2004,149.60017,-38.165,day,
N27,N27.2,IN2023_V05_175,175,McKenna Trawl,17/07/2023 23:51,18/07/2023 0:15,149.597671,-38.113288,149.579232,-38.111718,168.2,168.4,Station,,ok -- LEGACY SS199606_235,23,3,149.5622178,-38.15278887,day,
N27,N27.3,IN2023_V05_176,176,CTD,18/07/2023 3:26,18/07/2023 3:35,149.677256,-38.175863,,,283,,Station,,ok,SS199305_202,2003,149.62217,-38.16917,day,
N27,N27.3,IN2023_V05_177,177,Multinet,18/07/2023 4:03,,149.674997,-38.174902,,,280,,Station,,ok,SS199305_202,2003,149.62217,-38.16917,day,
N28,N28.1,IN2023_V05_168,168,CTD,17/07/2023 9:50,,149.537168,-38.183369,,,476,,Cluster,,"off mark (deliberate) - replaced: legacy video x3 (SS200001_244, SS200404_090, SS200001_236 (LING)",10,0,149.8301975,-37.97824249,night,
N28,N28.1,IN2023_V05_169,169,Multinet,17/07/2023 10:45,,149.53889,-38.18391,,,480,,Cluster,,"off mark (deliberate) - replaced: legacy video x3 (SS200001_244, SS200404_090, SS200001_236 (LING)",10,0,149.8301975,-37.97824249,night,
N28,N28.1,IN2023_V05_170,170,Deep Towed Camera,17/07/2023 13:23,17/07/2023 13:36,149.573681,-38.191036,149.537052,-38.184762,356.2,480.8,Cluster,design_legacy,"off mark (deliberate) - replaced: legacy video x3 (SS200001_244, SS200404_090, SS200001_236 (LING)",10,0,149.8301975,-37.97824249,night,"Opportunistic, not annotated at sea"
N28,N28.2,IN2023_V05_171,171,Deep Towed Camera,17/07/2023 16:16,17/07/2023 16:28,149.552083,-38.181535,149.539974,-38.187744,332.1,509.7,Cluster,design_legacy,"off mark (deliberate) - replaced: legacy video x3 (SS200001_244, SS200404_090, SS200001_236 (LING)",10,0,149.8301975,-37.97824249,night,"Opportunistic, not annotated at sea"
N28,N28.2,IN2023_V05_172,172,Deep Towed Camera,17/07/2023 17:50,17/07/2023 18:00,149.553402,-38.185175,149.570656,-38.190018,361.7,359,Cluster,design_legacy,"off mark (deliberate) - replaced: legacy video x3 (SS200001_244, SS200404_090, SS200001_236 (LING)",10,0,149.8301975,-37.97824249,night,"Opportunistic, not annotated at sea"
N31,N31.3,IN2023_V05_162,162,CTD,16/07/2023 19:35,16/07/2023 19:46,150.075226,-37.876327,,,299,,Station,,good,SS199602_067,2286,150.03084,-37.9375,day,
N31,N31.3,IN2023_V05_163,163,McKenna Trawl,16/07/2023 20:38,16/07/2023 21:13,150.049456,-37.911535,150.033606,-37.933141,257.7,232.5,Station,,good,SS199602_067,2286,150.03084,-37.9375,day,
N31,N31.2,IN2023_V05_164,164,McKenna Trawl,16/07/2023 23:32,17/07/2023 0:18,150.110072,-37.979738,150.096534,-38.006105,541.3,527.2,Station,,good,14,3,150.0934511,-38.01021459,day,
N31,N31.2,IN2023_V05_165,165,CTD,17/07/2023 2:19,17/07/2023 2:31,150.057284,-38.045166,,,432,,Station,,good,14,3,150.0934511,-38.01021459,day,
N31,N31.2,IN2023_V05_166,166,Multinet,17/07/2023 3:02,,150.058072,-38.045462,,,434,,Station,,good,14,3,150.0934511,-38.01021459,day,
N31,N31.1,IN2023_V05_167,167,McKenna Trawl,17/07/2023 5:00,17/07/2023 5:34,150.077262,-37.943992,150.070048,-37.972002,358.6,330.7,Station,,good,22,1,150.0620012,-37.9736029,day,
N32,N32.1,IN2023_V05_157,157,Deep Towed Camera,16/07/2023 9:44,16/07/2023 10:01,150.111261,-37.911163,150.101763,-37.916676,369.3,352.9,Cluster,design,good,17,0,150.1039343,-37.91593115,night,
N32,N32.3,IN2023_V05_159,159,Deep Towed Camera,,16/07/2023 11:25,150.083098,-37.931129,150.074269,-37.937191,318.4,305.3,Cluster,design,good,17,0,150.1039343,-37.91593115,night,
N32,N32.3,IN2023_V05_160,160,CTD,16/07/2023 12:51,,150.082459,-37.928585,,,314,,Cluster,,good,17,0,150.1039343,-37.91593115,night,
N32,N32.3,IN2023_V05_161,161,Multinet,16/07/2023 13:43,,150.080825,-37.921843,,,304,,Cluster,,good,17,0,150.1039343,-37.91593115,night,
N33,N33.3,IN2023_V05_141,141,McKenna Trawl,14/07/2023 20:52,14/07/2023 21:25,150.068486,-37.733183,150.061627,-37.750456,141.5,115.4,Station,,good,SS199405_190,2126,150.05667,-37.76333,day,
N33,N33.1,IN2023_V05_142,142,McKenna Trawl,14/07/2023 22:57,14/07/2023 23:21,150.106898,-37.763773,150.117997,-37.738514,165.9,158,Station,,good,SS199606_174,2478,150.11166,-37.75834,day,
N33,N33.2,IN2023_V05_143,143,CTD,15/07/2023 1:24,15/07/2023 1:34,150.138751,-37.674088,,,144,,Station,,good,SS199606_172,2476,150.10667,-37.715,day,
N33,N33.2,IN2023_V05_144,144,Multinet,15/07/2023 2:36,,150.131647,-37.673652,,,143,,Station,,good,SS199606_172,2476,150.10667,-37.715,day,
N33,N33.2,IN2023_V05_145,145,McKenna Trawl,15/07/2023 4:06,15/07/2023 4:34,150.128705,-37.700167,150.121037,-37.715339,161.4,155.6,Station,,good,SS199606_172,2476,150.10667,-37.715,day,
N33,N33.2,IN2023_V05_158,158,Deep Towed Camera,,16/07/2023 10:45,150.096687,-37.920414,150.088309,-37.926929,341,322.3,Station,design,good,SS199606_172,2476,150.10667,-37.715,day,
N34,N34.1,IN2023_V05_074,74,Deep Towed Camera,7/07/2023 10:27,7/07/2023 10:33,150.064373,-37.726877,150.055206,-37.722049,133,134.1,Station,design_legacy,good,SS200001_060,2510,150.0579545,-37.726012,night,
N34,N34.2,IN2023_V05_075,75,Deep Towed Camera,,7/07/2023 11:00,150.050167,-37.719979,150.039673,-37.718845,115.5,107.3,Station,design_legacy,off mark,SS199606_175,589,150.010825,-37.75,night,
N34,N34.3,IN2023_V05_076,76,Deep Towed Camera,,7/07/2023 11:34,150.036457,-37.719001,150.025781,-37.719568,116.8,114.8,Station,design_legacy,,SS200001_060,2510,150.0579545,-37.726012,night,
N35,N35.2,IN2023_V05_138,138,Deep Towed Camera,14/07/2023 17:56,14/07/2023 18:03,150.073243,-37.653616,150.069729,-37.661472,130.3,120.1,Station,GABO_reef,good,3,1,150.0500624,-37.68440489,day,"Opportunistic, not annotated at sea"
N35,N35.2,IN2023_V05_139,139,Deep Towed Camera,,14/07/2023 18:46,150.068063,-37.665771,150.066425,-37.675093,121.1,120.7,Station,GABO_reef,good,3,1,150.0500624,-37.68440489,day,"Opportunistic, not annotated at sea"
N35,N35.2,IN2023_V05_140,140,Deep Towed Camera,,14/07/2023 19:38,150.065271,-37.67979,150.063186,-37.688411,126.3,131.5,Station,GABO_reef,good,3,1,150.0500624,-37.68440489,day,"Opportunistic, not annotated at sea"
N35,N35.4,IN2023_V05_146,146,Deep Towed Camera,15/07/2023 9:30,15/07/2023 9:44,150.013454,-37.657304,150.010139,-37.667724,99.83,100.9,oppotunistic,GABO_reef,,,,,,,"Opportunistic, not annotated at sea"
N35,N35.5,IN2023_V05_147,147,Deep Towed Camera,,15/07/2023 10:30,150.007949,-37.671565,150.001158,-37.679482,106.6,107.6,oppotunistic,GABO_reef,,,,,,,"Opportunistic, not annotated at sea"
N35,N35.6,IN2023_V05_148,148,Deep Towed Camera,,15/07/2023 11:12,149.999262,-37.683616,149.993214,-37.69135,99.88,95.84,oppotunistic,GABO_reef,,,,,,,"Opportunistic, not annotated at sea"
N35,N35.1,IN2023_V05_149,149,CTD,15/07/2023 12:15,,149.988653,-37.686444,,,101,,Station,,good,SS199405_088 & SS199602_075 & SS199606_084,2064,149.9025,-37.618335,day,
N35,N35.1,IN2023_V05_150,150,Multinet,15/07/2023 13:23,,149.986806,-37.669107,,,99,,Station,,good,SS199405_088 & SS199602_075 & SS199606_084,2064,149.9025,-37.618335,day,
N35,N35.3,IN2023_V05_151,151,CTD,15/07/2023 19:37,15/07/2023 19:45,149.988001,-37.646111,,,103,,Station,,good,3,2,150.0138242,-37.64789991,day,
N35,N35.3,IN2023_V05_152,152,McKenna Trawl,15/07/2023 20:27,15/07/2023 21:02,149.987086,-37.655003,149.959965,-37.660985,107.8,111,Station,,good,3,2,150.0138242,-37.64789991,day,
N35,N35.1,IN2023_V05_153,153,McKenna Trawl,15/07/2023 23:31,15/07/2023 23:55,149.908929,-37.617319,149.877408,-37.616884,103.1,84.92,Station,,good,SS199405_088 & SS199602_075 & SS199606_084,2064,149.9025,-37.618335,day,
N35,N35.2,IN2023_V05_154,154,CTD,16/07/2023 2:31,16/07/2023 2:31,150.021298,-37.65316,,,103,,Station,,good,3,1,150.0500624,-37.68440489,day,
N35,N35.2,IN2023_V05_155,155,Multinet,16/07/2023 3:02,,150.023099,-37.64819,,,104,,Station,,good,3,1,150.0500624,-37.68440489,day,
N35,N35.2,IN2023_V05_156,156,McKenna Trawl,16/07/2023 4:11,16/07/2023 4:37,149.962068,-37.670804,149.931404,-37.677565,109.6,89.35,Station,,good,3,1,150.0500624,-37.68440489,day,
N36,N36.1,IN2023_V05_121,121,Deep Towed Camera,13/07/2023 13:51,13/07/2023 13:55,150.26764,-37.430516,150.278108,-37.423898,140.9,163.4,Cluster,design,ok,11,0,150.2563988,-37.45160149,night,
N36,N36.2,IN2023_V05_122,122,Deep Towed Camera,,13/07/2023 14:27,150.281454,-37.422213,150.289807,-37.41515,165.5,175.7,Cluster,design,ok,11,0,150.2563988,-37.45160149,night,
N36,N36.3,IN2023_V05_123,123,Deep Towed Camera,,13/07/2023 14:58,150.293472,-37.413227,150.305518,-37.406246,176.4,252.6,Cluster,design,ok,11,0,150.2563988,-37.45160149,night,
N36,N36.3,IN2023_V05_124,124,CTD,13/07/2023 16:15,13/07/2023 16:27,150.312291,-37.402353,,,288,,Cluster,,ok,11,0,150.2563988,-37.45160149,night,
N36,N36.3,IN2023_V05_125,125,Multinet,13/07/2023 17:18,,150.303242,-37.397267,,,193,,Cluster,,ok,11,0,150.2563988,-37.45160149,night,
N36,N36.2,IN2023_V05_126,126,CTD,13/07/2023 20:02,13/07/2023 20:10,150.288356,-37.378881,,,154,,Cluster,,ok,11,0,150.2563988,-37.45160149,night,
N37,N37.2,IN2023_V05_127,127,McKenna Trawl,13/07/2023 20:47,13/07/2023 21:15,150.298387,-37.386951,150.290169,-37.410103,178.5,169.1,Station,,good,"SS199602_102, SS199305_124",2309,150.295825,-37.39833,day,
N37,N37.3,IN2023_V05_128,128,McKenna Trawl,14/07/2023 0:00,14/07/2023 0:27,150.280088,-37.418448,150.277739,-37.430903,165.2,142.5,Station,,good,"SS199405_111, SS199606_127",2076,150.281665,-37.415835,day,
N37,N37.1,IN2023_V05_129,129,CTD,14/07/2023 2:14,14/07/2023 2:20,150.27515,-37.425067,,,159,,Station,,ok,SS199606_127,2447,150.275005,-37.42583,day,
N37,N37.1,IN2023_V05_130,130,Multinet,14/07/2023 2:50,,150.273193,-37.419831,,,155,,Station,,ok,SS199606_127,2447,150.275005,-37.42583,day,
