Tissue barcode ,tube number,otolith barcode,otoliths in box number,Box number (as written on the sample bag),box_for_mena,handed_over
10083894,278,,,20,,
10083667,279,,,20,,
10083949,280,,,20,,
10084347,281,,,20,,
10083977,282,,,20,,
10084270,283,,,20,,
10083610,284,,,20,,
10084348,285,,,20,,
10084376,286,,,20,,
10084006,287,,,20,,
10084231,288,,,20,,
10084046,289,,,20,,
10084249,290,,,21,,
10084253,291,,,21,,
10084188,292,,,21,,
10084191,293,,,21,,
10084439,294,,,21,,
10084499,295,,,21,,
10084407,296,,,21,,
10084464,297,,,21,,
10084255,298,,,21,,
10084226,299,,,21,,
10084357,300,,,21,,
10084299,301,,,21,,
10084337,302,,,21,,
10084561,303,,,21,,
10084591,304,,,21,,
10084501,305,,,21,,
10084564,306,,,21,,
10084705,307,,,21,,
10083847,308,,,21,,
10083915,309,,,21,,
10083821,310,,,21,,
10083851,311,,,21,,
10083824,312,,,21,,
10084724,313,,,23and24,,
10084664,314,,,23and24,,
10084967,315,,,23and24,,
10084965,316,,,23and24,,
10084937,317,,,23and24,,
10084964,318,,,23and24,,
10084907,319,,,23and24,,
10084690,320,,,23and24,,
10084720,321,,,23and24,,
10084657,322,,,23and24,,
10085130,323,,,23and24,,
none,,,,25,,
10084969,324,10086719,19,23,,
10084958,325,10086771,19,23,,
10084934,326,10086741,19,23,,
10084939,327,10086801,19,23,,
10085167,328,10086856,19,23,,
10084963,329,10086711,19,23,,
10084913,330,10086861,19,23,,
10084943,331,10086831,19,23,,
10085005,332,10086760,19,23,,
10084921,333,10086790,19,23,,
10085039,334,10086820,19,23,,
10085078,335,10086850,19,23,,
10084662,336,10086715,19,23,,
10084729,337,10086745,19,23,,
10084699,338,10086775,19,23,,
10084682,339,10086805,19,23,,
10084891,340,10086835,19,23,,
10085159,341,10086865,19,23,,
10085137,342,10086802,19,23,,
10085021,343,10086832,19,23,,
10084672,344,10086862,19,23,,
10085069,345,10086712,19,23,,
10084695,346,10086742,19,23,,
10084950,347,10086709,19,23,,
10084639,348,10086739,19,23,,
10084540,349,10086703,19,22,,
10084704,350,10084565,19,22,,
10083886,351,10086769,19,22,,
10084624,352,10086799,19,22,,
10084565,353,10086829,19,22,,
10084329,354,10086706,19,22,,
10083858,355,10086772,19,22,,
10084307,356,10086859,19,22,,
10084324,357,10086766,19,22,,
10084711,358,10086736,19,22,,
10083773,359,10086763,19,22,,
10084124,360,10086793,19,18/19,,
10084152,361,10086823,19,18/19,,
10084041,362,10086853,19,20,,
10084081,363,10086796,19,20,,
10083865,364,10086700,19,20,,
10084372,365,10086730,19,20,,
10083966,366,10086826,19,20,,
10084371,367,10086714,19,20,,
10083947,368,10086744,19,20,,
10084333,369,10086774,19,20,,
10084161,370,10086708,19,20,,
10084212,371,10086804,19,20,,
10083760,372,10086834,19,21,,
10083997,373,10086864,19,21,,
10084422,374,10086738,19,21,,
10083989,375,10086768,19,21,,
10084537,376,10086798,19,21,,
10083706,377,10086828,19,21,,
10084573,378,10086858,19,21,,
10084598,379,10086705,19,21,,
10083938,380,10086735,19,21,,
10084444,381,10086765,19,21,,
10084408,382,10086795,19,21,,
10084417,383,10086825,19,21,,
10084449,384,10086855,19,21,,
10084414,385,10086702,19,21,,
10084546,386,10086764,19,21,,
10083701,387,10086732,19,21,,
10084411,388,10086762,19,21,,
10084409,389,10086792,19,21,,
10084475,390,10086822,19,21,,
,391,,,,,
,392,,,,,
,393,,,,,
,394,,,,,
,395,,,,,
,396,,,,,
,397,,,,,
,398,,,,,
,399,,,,,
