SURVEY_OPS,FRACTION_SUBSAMPLED,TOT_wgt_G_upscaled,TOT_No_upscaled,SPCODE,FAMILY,SCIENTIFIC_NAME,COMMON_NAME,OTU_NAME,T_FIELD,COUNT,AM_SPECIMEN,ANFC_SPECIMEN,WT_G,LENGTH_CODE,MAX_LENGTH_MM,MEASURED_COUNT,WEIGHT_MEASURED,RESTSAM_WT_G,CALCULATED_WT_G,CALCULATED_COUNTS,SITE_ID,GEAR,ON_BOTTOM_TIME,ON_BOTTOM_LATITUDE,ON_BOTTOM_LONGITUDE,ON_BOTTOM_DEPTH_M,OFF_BOTTOM_TIME,OFF_BOTTOM_LATITUDE,OFF_BOTTOM_LONGITUDE,OFF_BOTTOM_DEPTH_M,BOTTOM_DURATION_MINS,AFMA_UnitCode,AFMA_UnitCodeName,AFMA_CodeNote
IN2023_V05_012,1,2015,3,37287005,Neosebastidae,Neosebastes scorpaenoides,Common Gurnard Perch,,T,3,1,1,2015,FL,352,3,2015,,,,N1.1,McKenna semi V-wing fish trawl,1/07/2023 3:06,-40.326173,148.767401,85,1/07/2023 3:24,-40.339184,148.757921,86,19,,,
IN2023_V05_012,1,98,1,37264004,Zeidae,Zeus faber,John Dory,,T,1,,,98,FL,177,1,98,,,,N1.1,McKenna semi V-wing fish trawl,1/07/2023 3:06,-40.326173,148.767401,85,1/07/2023 3:24,-40.339184,148.757921,86,19,DOJ,John Dory,
IN2023_V05_012,1,6468,100,37288007,Triglidae,Lepidotrigla modesta,Cocky Gurnard,,T,100,3,10,6468,FL,190,100,6468,,,,N1.1,McKenna semi V-wing fish trawl,1/07/2023 3:06,-40.326173,148.767401,85,1/07/2023 3:24,-40.339184,148.757921,86,19,,,
IN2023_V05_012,1,2403,14,37367002,Pentacerotidae,Paristiopterus labiosus,Giant Boarfish,,T,14,,,2403,FL,240,14,2403,,,,N1.1,McKenna semi V-wing fish trawl,1/07/2023 3:06,-40.326173,148.767401,85,1/07/2023 3:24,-40.339184,148.757921,86,19,,,
IN2023_V05_012,1,290,1,37023002,Pristiophoridae,Pristiophorus cirratus,Common Sawshark,,T,1,,,290,TL,547,1,290,,,,N1.1,McKenna semi V-wing fish trawl,1/07/2023 3:06,-40.326173,148.767401,85,1/07/2023 3:24,-40.339184,148.757921,86,19,SHWF,Sawshark,
IN2023_V05_012,1,305,1,37038002,Urolophidae,Urolophus cruciatus,Banded Stingaree,,T,1,,,305,TL,274,1,305,,,,N1.1,McKenna semi V-wing fish trawl,1/07/2023 3:06,-40.326173,148.767401,85,1/07/2023 3:24,-40.339184,148.757921,86,19,,,
IN2023_V05_012,1,7430,1,37031006,Rajidae,Spiniraja whitleyi,Melbourne Skate,,T,1,0,0,7430,TL,933,1,7430,,,,N1.1,McKenna semi V-wing fish trawl,1/07/2023 3:06,-40.326173,148.767401,85,1/07/2023 3:24,-40.339184,148.757921,86,19,,,
IN2023_V05_012,1,4304,12,37296001,Platycephalidae,Platycephalus richardsoni,Tiger Flathead,,T,12,,,4304,FL,492,12,4304,,,,N1.1,McKenna semi V-wing fish trawl,1/07/2023 3:06,-40.326173,148.767401,85,1/07/2023 3:24,-40.339184,148.757921,86,19,FLT,Flathead,
IN2023_V05_012,1,1512,7,37288006,Triglidae,Pterygotrigla polyommata,Latchet,,T,7,,,1512,FL,294,7,1512,,,,N1.1,McKenna semi V-wing fish trawl,1/07/2023 3:06,-40.326173,148.767401,85,1/07/2023 3:24,-40.339184,148.757921,86,19,LAT,Latchet,of interest but not Quota
IN2023_V05_012,1,594,1,37400001,Uranoscopidae,Xenocephalus armatus,Bulldog Stargazer,,T,1,,,594,FL,333,1,594,,,,N1.1,McKenna semi V-wing fish trawl,1/07/2023 3:06,-40.326173,148.767401,85,1/07/2023 3:24,-40.339184,148.757921,86,19,,,
IN2023_V05_012,1,3051,9,37038004,Urolophidae,Urolophus paucimaculatus,Sparsely-spotted Stingaree,,T,9,2,2,3051,TL,371,9,3051,,,,N1.1,McKenna semi V-wing fish trawl,1/07/2023 3:06,-40.326173,148.767401,85,1/07/2023 3:24,-40.339184,148.757921,86,19,,,
IN2023_V05_012,1,1842,1,37043001,Callorhinchidae,Callorhinchus milii,Elephantfish,,T,1,,1,1842,TL,686,1,1842,,,,N1.1,McKenna semi V-wing fish trawl,1/07/2023 3:06,-40.326173,148.767401,85,1/07/2023 3:24,-40.339184,148.757921,86,19,SHEF,Elephantfish,
