SPCODE,SITE_ID,LENGTH_MM,TISSUE,BIOLOGICALS_COMMENTS,SCIENTIFIC_NAME,COMMON_NAME,choose,Species_size
37439002,N39.1,262,10082571,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N39.1,249,10082602,(null),Rexea solandri,Gemfish,y,Rexea solandri
37439002,N39.1,258,10082576,(null),Rexea solandri,Gemfish,y,Rexea solandri
37287001,N39.1,132,NA,BAGGED WHOLE,Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37287001,N39.1,120,NA,BAGGED WHOLE,Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37287001,N39.1,94,NA,BAGGED WHOLE,Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37287001,N39.1,161,NA,BAGGED WHOLE,Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37287001,N39.1,140,NA,BAGGED WHOLE,Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37287001,N39.1,124,NA,BAGGED WHOLE,Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37287001,N39.1,134,NA,BAGGED WHOLE,Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37287001,N39.1,103,NA,BAGGED WHOLE,Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37287001,N39.1,107,NA,BAGGED WHOLE,Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37287001,N39.1,110,NA,BAGGED WHOLE,Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37330014,N39.1,152,10083243,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N39.1,155,10083183,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N39.1,200,10082564,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N39.1,159,10082594,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N39.1,146,10082582,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N39.1,147,10082600,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N39.1,157,10082534,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N39.1,144,10082580,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N39.1,141,10082562,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N39.1,143,10083184,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37287001,N39.2,251,10082518,(null),Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37287001,N39.2,250,10082488,(null),Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37287001,N39.2,204,10082457,(null),Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37287001,N39.2,222,10082388,(null),Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37287001,N39.2,200,10082397,(null),Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37287001,N39.2,141,NA,whole fish,Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37287001,N39.2,142,NA,whole fish,Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37287001,N39.2,125,NA,whole fish,Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37287001,N39.2,126,NA,whole fish,Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37287001,N39.2,132,NA,whole fish,Helicolenus percoides,Reef Ocean Perch,y,Helicolenus percoides
37296001,N39.2,346,10082578,tissue and gonads in same bag,Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_lg
37296001,N39.2,281,10082579,tissue and gonads in same bag,Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_sm
37296001,N39.2,299,10082597,tissue and gonads in same bag,Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_sm
37296001,N39.2,254,10082220,tissue and gonads in same bag,Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_sm
37296001,N39.2,280,10082074,tissue and gonads in same bag,Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_sm
37296001,N39.2,206,10082103,tissue and gonads in same bag,Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_sm
37296001,N39.2,221,10082108,tissue and gonads in same bag,Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_sm
37296001,N39.2,253,10082069,tissue and gonads in same bag,Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_sm
37296001,N39.2,248,10081401,tissue and gonads in same bag,Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_sm
37439002,N39.2,262,10082496,tissue and gonads in same bag,Rexea solandri,Gemfish,y,Rexea solandri
37439002,N39.2,263,10082409,tissue and gonads in same bag,Rexea solandri,Gemfish,y,Rexea solandri
37439002,N39.2,258,10082349,tissue and gonads in same bag,Rexea solandri,Gemfish,y,Rexea solandri
37439002,N39.2,261,10082357,tissue and gonads in same bag,Rexea solandri,Gemfish,y,Rexea solandri
