SPCODE,SITE_ID,LENGTH_MM,TISSUE,BIOLOGICALS_COMMENTS,SCIENTIFIC_NAME,COMMON_NAME,choose,Species_size
37038004,N43.2,366,10081080,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree,y,Urolophus paucimaculatus
37038004,N43.2,380,10081110,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree,y,Urolophus paucimaculatus
37038004,N43.2,411,10082843,developed eggs,Urolophus paucimaculatus,Sparsely-spotted Stingaree,y,Urolophus paucimaculatus
37038004,N43.2,279,10082905,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree,y,Urolophus paucimaculatus
37038004,N43.2,286,10081188,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree,y,Urolophus paucimaculatus
37038004,N43.2,370,10081170,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree,y,Urolophus paucimaculatus
37038004,N43.2,139,NA,bagged whole,Urolophus paucimaculatus,Sparsely-spotted Stingaree,y,Urolophus paucimaculatus
37465006,N43.2,295,10081146,(null),Nelusetta ayraud,Ocean Jacket,y,Nelusetta ayraud
37465006,N43.2,184,10081176,(null),Nelusetta ayraud,Ocean Jacket,y,Nelusetta ayraud
37439002,N43.3,286,10082008,scavenging previous shot discards,Rexea solandri,Gemfish,y,Rexea solandri
37465006,N43.3,319,10082010,scavenging previous shot discards,Nelusetta ayraud,Ocean Jacket,y,Nelusetta ayraud
37465006,N43.3,301,10081980,scavenging previous shot discards,Nelusetta ayraud,Ocean Jacket,y,Nelusetta ayraud
37465006,N43.3,274,10082011,scavenging previous shot discards,Nelusetta ayraud,Ocean Jacket,y,Nelusetta ayraud
37465006,N43.3,337,10082007,scavenging previous shot discards,Nelusetta ayraud,Ocean Jacket,y,Nelusetta ayraud
