SPCODE,SCIENTIFIC_NAME,COMMON_NAME,OPER_ID,VOYAGE_ID,SITE_ID,SPECIES_BARCODE,WEIGHT_G,LENGTH_MM,SEX,SEX_CODE,OTOLITH,OTOLITH_COMMENT,GONAD,TISSUE,STOMACH,HINDGUT,BIOLOGICALS_COMMENTS,FISH_COMMENTS,Species_size
37445006,Seriolella punctata,Silver Warehou,31,IN2023_V05,N5.2,10070208,119,208,u,U,10080906,(null),10080868,10080867,10080951,10080921,(null),(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,31,IN2023_V05,N5.2,10070208,117,206,(null),(null),10081014,(null),(null),10081017,10081074,10081068,no gonad,(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,31,IN2023_V05,N5.2,10070208,145,220,(null),(null),10081008,(null),(null),10081005,10080899,10081065,no gonad,(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,31,IN2023_V05,N5.2,10070208,130,217,f,F,10081044,(null),10080898,10080891,10080897,10080936,(null),(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,31,IN2023_V05,N5.2,10070208,116,213,(null),(null),10080928,(null),(null),10080958,10080839,10080869,no gonad,(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,31,IN2023_V05,N5.2,10070208,162,227,f,F,10080957,(null),10080927,10080862,10080861,10080831,(null),(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,31,IN2023_V05,N5.2,10070208,154,225,f,F,10080820,(null),10081071,10080984,10081030,10080987,(null),(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,32,IN2023_V05,N5.3,10070239,110,200,f,F,10080692,(null),10080883,10080923,10080953,10080990,(null),(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,32,IN2023_V05,N5.3,10070239,124,203,f,F,10080632,(null),10080830,10080943,10080889,10080950,(null),(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,32,IN2023_V05,N5.3,10070239,100,197,f,U,10080925,(null),10080829,10080972,10080955,10080865,(null),(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,32,IN2023_V05,N5.3,10070239,126,212,f,F,10080866,(null),10081047,10080817,10080926,10080895,(null),(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,32,IN2023_V05,N5.3,10070239,104,198,u,F,10080870,(null),10080900,10080836,10080896,10080815,(null),(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,32,IN2023_V05,N5.3,10070239,102,202,f,M,10080719,(null),10080689,10080709,10080881,10080652,(null),(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,32,IN2023_V05,N5.3,10070239,134,214,f,F,10081075,(null),10080941,10080911,10080924,10080954,(null),(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,32,IN2023_V05,N5.3,10070239,134,215,m,F,10080653,(null),10080938,10080683,10080644,10080641,(null),(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,32,IN2023_V05,N5.3,10070239,112,205,f,(null),10080646,(null),10080711,10080640,10080651,10080681,(null),(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,32,IN2023_V05,N5.3,10070239,100,200,f,(null),10080914,(null),10080638,10080962,10080671,10080701,(null),(null),Seriolella punctata
37330014,Sillago flindersi,Eastern School Whiting,32,IN2023_V05,N5.3,10070242,60,186,m,M,10080931,(null),10080871,10080810,10080812,(null),stomach and digestive together,(null),Sillago flindersi
37038004,Urolophus paucimaculatus,Sparsely-spotted Stingaree,32,IN2023_V05,N5.3,10070255,401,356,f,F,(null),(null),(null),10080944,10081032,10080296,eggs in ovary,no photo,Urolophus paucimaculatus
37038004,Urolophus paucimaculatus,Sparsely-spotted Stingaree,32,IN2023_V05,N5.3,10070255,424,356,(null),(null),(null),(null),(null),10080650,10080668,10080912,eggs in ovary,no photo,Urolophus paucimaculatus
37038004,Urolophus paucimaculatus,Sparsely-spotted Stingaree,32,IN2023_V05,N5.3,10070255,326,321,m,M,(null),(null),(null),10080818,10080708,10080676,(null),(null),Urolophus paucimaculatus
37038004,Urolophus paucimaculatus,Sparsely-spotted Stingaree,32,IN2023_V05,N5.3,10070255,457,367,f,F,(null),(null),(null),10080665,10080635,10080852,undeveloped eggs,(null),Urolophus paucimaculatus
37038004,Urolophus paucimaculatus,Sparsely-spotted Stingaree,32,IN2023_V05,N5.3,10070255,303,327,m,M,(null),(null),(null),10080882,10080713,10080645,(null),(null),Urolophus paucimaculatus
37038004,Urolophus paucimaculatus,Sparsely-spotted Stingaree,32,IN2023_V05,N5.3,10070255,503,388,f,F,(null),(null),(null),10080894,10080942,10080853,undeveloped eggs,(null),Urolophus paucimaculatus
37038004,Urolophus paucimaculatus,Sparsely-spotted Stingaree,32,IN2023_V05,N5.3,10070255,340,329,f,F,(null),(null),(null),10080712,10080682,10080675,undeveloped eggs,(null),Urolophus paucimaculatus
37038004,Urolophus paucimaculatus,Sparsely-spotted Stingaree,32,IN2023_V05,N5.3,10070255,369,333,f,F,(null),(null),(null),10080823,10080824,10080822,undeveloped eggs,(null),Urolophus paucimaculatus
37038004,Urolophus paucimaculatus,Sparsely-spotted Stingaree,32,IN2023_V05,N5.3,10070255,390,337,f,F,(null),(null),(null),10081045,10080985,10081015,embryos,photo,Urolophus paucimaculatus
37038004,Urolophus paucimaculatus,Sparsely-spotted Stingaree,32,IN2023_V05,N5.3,10070255,436,342,f,F,(null),(null),(null),10080695,10080710,10080680,undeveloped eggs,(null),Urolophus paucimaculatus
37296001,Platycephalus richardsoni,Tiger Flathead,35,IN2023_V05,N5.1,10070271,74,222,f,F,10081227,(null),10081319,10081271,10081309,10081229,(null),(null),Platycephalus richardsoni_sm
37296001,Platycephalus richardsoni,Tiger Flathead,35,IN2023_V05,N5.1,10070271,63,222,f,F,10081270,(null),10081240,10081318,10081316,10081249,(null),(null),Platycephalus richardsoni_sm
37296001,Platycephalus richardsoni,Tiger Flathead,35,IN2023_V05,N5.1,10070271,110,257,f,F,10081241,(null),10081287,10081211,10081317,10081257,(null),(null),Platycephalus richardsoni_sm
37296001,Platycephalus richardsoni,Tiger Flathead,35,IN2023_V05,N5.1,10070271,88,234,m,M,10081285,(null),10081286,10081255,10081298,10081228,internal parasitic worms retained 10081223,(null),Platycephalus richardsoni_sm
37296001,Platycephalus richardsoni,Tiger Flathead,35,IN2023_V05,N5.1,10070271,205,311,m,M,10081254,(null),10081296,10081209,10081300,10081224,(null),(null),Platycephalus richardsoni_lg
37296001,Platycephalus richardsoni,Tiger Flathead,35,IN2023_V05,N5.1,10070271,180,290,f,F,10081210,(null),10081291,10081290,10081260,10081250,(null),(null),Platycephalus richardsoni_sm
37296001,Platycephalus richardsoni,Tiger Flathead,35,IN2023_V05,N5.1,10070271,153,276,f,F,10081230,(null),10081200,10081201,10081261,10081293,(null),(null),Platycephalus richardsoni_sm
37296001,Platycephalus richardsoni,Tiger Flathead,35,IN2023_V05,N5.1,10070271,109,256,f,F,10081280,(null),10081297,10081307,10081106,10081105,(null),(null),Platycephalus richardsoni_sm
37296001,Platycephalus richardsoni,Tiger Flathead,35,IN2023_V05,N5.1,10070271,124,267,f,F,10081246,(null),10081216,10081305,10081215,10081277,(null),(null),Platycephalus richardsoni_sm
37296001,Platycephalus richardsoni,Tiger Flathead,35,IN2023_V05,N5.1,10070271,99,248,f,F,10081276,(null),10081245,10081306,10081136,10081275,(null),(null),Platycephalus richardsoni_sm
37330014,Sillago flindersi,Eastern School Whiting,35,IN2023_V05,N5.1,10070269,82,212,m,M,10081231,(null),10081299,10081269,10081263,10081233,(null),(null),Sillago flindersi
37445006,Seriolella punctata,Silver Warehou,35,IN2023_V05,N5.1,10070285,107,207,(null),(null),10080795,(null),10080764,10080734,10080745,10080794,female immature,(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,35,IN2023_V05,N5.1,10070285,104,197,(null),(null),10081181,(null),10081206,10081139,10081268,10081103,undeveloped gonads,(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,35,IN2023_V05,N5.1,10070285,99,195,(null),(null),10081121,(null),10081183,10081213,10081191,10081095,immature female,(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,35,IN2023_V05,N5.1,10070285,98,198,(null),(null),10081085,(null),(null),10081162,10081125,10081274,undeveloped gonads,(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,35,IN2023_V05,N5.1,10070285,77,184,(null),(null),10081212,(null),(null),10081091,10081144,10081138,undeveloped gonads,(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,35,IN2023_V05,N5.1,10070285,108,197,f,F,10081145,(null),10081173,10081174,10081102,10081132,shot 1,0p 42,Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,35,IN2023_V05,N5.1,10070285,112,199,m,M,10081243,(null),10081122,10081088,10081185,10081192,(null),(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,35,IN2023_V05,N5.1,10070285,103,194,m,M,10081084,(null),10081114,10081127,10081303,10081208,(null),(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,35,IN2023_V05,N5.1,10070285,101,191,f,F,10081151,(null),10081199,10081180,10081207,10081118,(null),(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,35,IN2023_V05,N5.1,10070285,102,195,f,F,10081237,(null),10081150,10081267,10081242,10081272,(null),(null),Seriolella punctata
37038004,Urolophus paucimaculatus,Sparsely-spotted Stingaree,35,IN2023_V05,N5.1,10070289,163,264,(null),(null),(null),(null),(null),10080627,10080693,10080744,female immature,(null),Urolophus paucimaculatus
37038004,Urolophus paucimaculatus,Sparsely-spotted Stingaree,35,IN2023_V05,N5.1,10070289,370,315,(null),(null),(null),(null),(null),10080700,10080666,10080256,female undeveloped eggs,(null),Urolophus paucimaculatus
37038004,Urolophus paucimaculatus,Sparsely-spotted Stingaree,35,IN2023_V05,N5.1,10070289,379,322,(null),(null),(null),(null),(null),10080771,10080669,10080504,female undeveloped eggs,(null),Urolophus paucimaculatus
37038004,Urolophus paucimaculatus,Sparsely-spotted Stingaree,35,IN2023_V05,N5.1,10070289,487,354,(null),(null),(null),(null),(null),10080801,10080702,10080687,female undeveloped eggs,(null),Urolophus paucimaculatus
37038004,Urolophus paucimaculatus,Sparsely-spotted Stingaree,35,IN2023_V05,N5.1,10070289,320,305,(null),(null),(null),(null),(null),10080717,10080808,10080633,female undeveloped eggs,(null),Urolophus paucimaculatus
37038004,Urolophus paucimaculatus,Sparsely-spotted Stingaree,35,IN2023_V05,N5.1,10070289,264,289,m,M,(null),(null),(null),10080535,10080714,10080663,(null),(null),Urolophus paucimaculatus
37038004,Urolophus paucimaculatus,Sparsely-spotted Stingaree,35,IN2023_V05,N5.1,10070289,406,329,(null),(null),(null),(null),(null),10080528,10080748,10080696,female undeveloped eggs,(null),Urolophus paucimaculatus
37038004,Urolophus paucimaculatus,Sparsely-spotted Stingaree,35,IN2023_V05,N5.1,10070289,294,318,(null),(null),(null),(null),(null),10080530,10080735,10080637,female undeveloped eggs,(null),Urolophus paucimaculatus
37038004,Urolophus paucimaculatus,Sparsely-spotted Stingaree,35,IN2023_V05,N5.1,10070289,414,366,(null),(null),(null),(null),(null),10080804,10080572,10080500,female undeveloped eggs,(null),Urolophus paucimaculatus
37038004,Urolophus paucimaculatus,Sparsely-spotted Stingaree,35,IN2023_V05,N5.1,10070289,468,347,(null),(null),(null),(null),(null),10080730,10080634,10080667,female undeveloped eggs,(null),Urolophus paucimaculatus
37296001,Platycephalus richardsoni,Tiger Flathead,42,IN2023_V05,N7.1,10070307,690,444,f,F,10081193,(null),10081120,10081115,10081169,10081302,(null),(null),Platycephalus richardsoni_lg
37296001,Platycephalus richardsoni,Tiger Flathead,42,IN2023_V05,N7.1,10070307,426,372,f,F,10081805,(null),10081770,10081109,10081740,10081835,(null),(null),Platycephalus richardsoni_lg
37296001,Platycephalus richardsoni,Tiger Flathead,42,IN2023_V05,N7.1,10070307,587,428,f,F,10081744,(null),10081774,10081804,10081775,10081745,gut parasite 10081834,(null),Platycephalus richardsoni_lg
37296001,Platycephalus richardsoni,Tiger Flathead,42,IN2023_V05,N7.1,10070307,458,387,f,F,10081179,(null),10080686,10081089,10081311,10081295,(null),(null),Platycephalus richardsoni_lg
37296001,Platycephalus richardsoni,Tiger Flathead,42,IN2023_V05,N7.1,10070307,428,390,m,M,10081203,(null),10081265,10081204,10081119,10081149,(null),(null),Platycephalus richardsoni_lg
37296001,Platycephalus richardsoni,Tiger Flathead,42,IN2023_V05,N7.1,10070307,436,390,m,M,10081773,(null),10081803,10081833,10081124,10081238,(null),(null),Platycephalus richardsoni_lg
37296001,Platycephalus richardsoni,Tiger Flathead,42,IN2023_V05,N7.1,10070307,337,364,f,F,10081294,(null),10081154,10081155,10081743,10081175,(null),(null),Platycephalus richardsoni_lg
37296001,Platycephalus richardsoni,Tiger Flathead,42,IN2023_V05,N7.1,10070307,277,326,m,M,10081234,(null),10081264,10081239,10081205,10081266,(null),(null),Platycephalus richardsoni_lg
37296001,Platycephalus richardsoni,Tiger Flathead,42,IN2023_V05,N7.1,10070307,882,482,f,F,10081157,(null),10081168,10081236,10081107,10081759,(null),(null),Platycephalus richardsoni_lg
37296001,Platycephalus richardsoni,Tiger Flathead,42,IN2023_V05,N7.1,10070307,406,388,f,F,10081096,(null),10081187,10081198,10081126,10081156,(null),(null),Platycephalus richardsoni_lg
37445006,Seriolella punctata,Silver Warehou,10,IN2023_V05,N1.1,10070014,99,225,(null),(null),10080073,(null),10080072,10080074,10080070,10080071,(null),(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,12,IN2023_V05,N1.2,10070031,119,209,f,F,10080139,(null),10080138,10080140,10080137,10080141,(null),(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,12,IN2023_V05,N1.2,10070031,201,191,f,F,10080132,(null),10080135,10080133,10080142,10080143,(null),(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,12,IN2023_V05,N1.2,10070031,93,197,f,F,10080155,(null),10080154,10080156,10080136,10080153,(null),(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,12,IN2023_V05,N1.2,10070031,107,197,f,F,10080158,(null),10080160,10080159,10080157,10080161,(null),(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,12,IN2023_V05,N1.2,10070031,121,213,f,F,10080108,(null),10080164,10080112,10080162,10080163,(null),(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,12,IN2023_V05,N1.2,10070031,150,228,f,F,10080113,(null),10080109,10080114,10080111,10080110,(null),(null),Seriolella punctata
37287001,Helicolenus percoides,Reef Ocean Perch,12,IN2023_V05,N1.2,10070043,76,166,f,F,(null),(null),(null),10080128,10080129,10080167,(null),(null),Helicolenus percoides
37287001,Helicolenus percoides,Reef Ocean Perch,12,IN2023_V05,N1.2,10070043,133,177,f,F,(null),(null),(null),10080125,10080127,10080126,(null),(null),Helicolenus percoides
37287001,Helicolenus percoides,Reef Ocean Perch,12,IN2023_V05,N1.2,10070043,45,148,(null),(null),(null),(null),(null),10080144,10080169,10080168,(null),(null),Helicolenus percoides
37287001,Helicolenus percoides,Reef Ocean Perch,12,IN2023_V05,N1.2,10070043,24,116,(null),(null),(null),(null),(null),(null),10080145,(null),bagged whole,(null),Helicolenus percoides
37287001,Helicolenus percoides,Reef Ocean Perch,12,IN2023_V05,N1.2,10070043,115,179,m,M,(null),(null),(null),10080146,10080130,10080174,(null),(null),Helicolenus percoides
37287001,Helicolenus percoides,Reef Ocean Perch,12,IN2023_V05,N1.2,10070043,91,156,m,M,(null),(null),(null),10080211,10080147,10080148,(null),(null),Helicolenus percoides
37287001,Helicolenus percoides,Reef Ocean Perch,12,IN2023_V05,N1.2,10070043,19,113,(null),(null),(null),(null),(null),(null),10080175,(null),bagged whole,(null),Helicolenus percoides
37296001,Platycephalus richardsoni,Tiger Flathead,12,IN2023_V05,N1.2,10070054,945,492,f,F,10080178,(null),10080177,10080179,10080173,10080124,(null),(null),Platycephalus richardsoni_lg
37296001,Platycephalus richardsoni,Tiger Flathead,12,IN2023_V05,N1.2,10070054,497,409,f,F,10080122,(null),10080166,10080121,10080123,10080115,(null),(null),Platycephalus richardsoni_lg
37296001,Platycephalus richardsoni,Tiger Flathead,12,IN2023_V05,N1.2,10070054,457,386,m,M,10080181,(null),10080165,10080188,10080151,10080120,(null),(null),Platycephalus richardsoni_lg
37296001,Platycephalus richardsoni,Tiger Flathead,12,IN2023_V05,N1.2,10070054,301,343,m,M,10080185,(null),10080184,10080189,10080182,10080183,(null),(null),Platycephalus richardsoni_lg
37296001,Platycephalus richardsoni,Tiger Flathead,12,IN2023_V05,N1.2,10070054,243,337,f,F,10080194,(null),10080180,10080193,10080192,10080152,(null),(null),Platycephalus richardsoni_lg
37296001,Platycephalus richardsoni,Tiger Flathead,12,IN2023_V05,N1.2,10070054,461,403,m,M,10080199,(null),10080201,10080195,10080198,10080200,(null),(null),Platycephalus richardsoni_lg
37296001,Platycephalus richardsoni,Tiger Flathead,12,IN2023_V05,N1.2,10070054,229,322,m,M,10080202,(null),10080210,10080203,10080196,10080197,(null),(null),Platycephalus richardsoni_lg
37296001,Platycephalus richardsoni,Tiger Flathead,12,IN2023_V05,N1.2,10070054,266,333,f,F,10080213,(null),10080186,10080214,10080204,10080212,(null),(null),Platycephalus richardsoni_lg
37296001,Platycephalus richardsoni,Tiger Flathead,12,IN2023_V05,N1.2,10070054,161,290,f,F,10080222,(null),10080216,10080221,10080215,10080205,(null),(null),Platycephalus richardsoni_sm
37296001,Platycephalus richardsoni,Tiger Flathead,12,IN2023_V05,N1.2,10070054,143,285,f,F,10080209,(null),10080218,10080208,10080220,10080219,(null),(null),Platycephalus richardsoni_sm
37038004,Urolophus paucimaculatus,Sparsely-spotted Stingaree,12,IN2023_V05,N1.2,10070058,458,363,f,F,(null),(null),(null),10080223,10080190,10080191,(null),(null),Urolophus paucimaculatus
37038004,Urolophus paucimaculatus,Sparsely-spotted Stingaree,12,IN2023_V05,N1.2,10070058,513,282,m,M,(null),(null),(null),10080227,10080224,10080226,(null),(null),Urolophus paucimaculatus
37038004,Urolophus paucimaculatus,Sparsely-spotted Stingaree,12,IN2023_V05,N1.2,10070058,235,371,f,F,(null),(null),(null),10080206,10080207,10080230,(null),(null),Urolophus paucimaculatus
37038004,Urolophus paucimaculatus,Sparsely-spotted Stingaree,12,IN2023_V05,N1.2,10070058,234,274,f,F,(null),(null),(null),(null),10080225,(null),2 pups,pups and animal frozen whole,Urolophus paucimaculatus
37296001,Platycephalus richardsoni,Tiger Flathead,20,IN2023_V05,N3.2,10070069,800,454,f,F,10080277,(null),10080278,10080276,10080279,10080280,Start of day 2,trawl station 3,Platycephalus richardsoni_lg
37296001,Platycephalus richardsoni,Tiger Flathead,20,IN2023_V05,N3.2,10070069,534,389,f,F,10080272,(null),10080273,10080271,10080275,10080274,(null),(null),Platycephalus richardsoni_lg
37296001,Platycephalus richardsoni,Tiger Flathead,20,IN2023_V05,N3.2,10070069,550,402,m,M,10080267,(null),10080268,10080266,10080270,10080269,(null),(null),Platycephalus richardsoni_lg
37296001,Platycephalus richardsoni,Tiger Flathead,20,IN2023_V05,N3.2,10070069,356,350,m,M,10080264,(null),10080263,10080260,10080265,10080251,(null),(null),Platycephalus richardsoni_lg
37296001,Platycephalus richardsoni,Tiger Flathead,20,IN2023_V05,N3.2,10070069,694,414,f,F,10080228,(null),10080231,10080252,10080259,10080258,stomach everted,(null),Platycephalus richardsoni_lg
37296001,Platycephalus richardsoni,Tiger Flathead,20,IN2023_V05,N3.2,10070069,622,414,f,F,10080255,(null),10080254,10080352,10080253,10080187,(null),(null),Platycephalus richardsoni_lg
37296001,Platycephalus richardsoni,Tiger Flathead,20,IN2023_V05,N3.2,10070069,916,471,f,F,10080389,(null),10080419,10080351,10080412,10080359,(null),(null),Platycephalus richardsoni_lg
37296001,Platycephalus richardsoni,Tiger Flathead,20,IN2023_V05,N3.2,10070069,354,360,m,M,10080386,(null),10080356,10080347,10080381,10080411,(null),(null),Platycephalus richardsoni_lg
