"","TISSUE","Tube_no","SPCODE","SITE_ID","LENGTH_MM","SCIENTIFIC_NAME","COMMON_NAME","Species_size"
"195",10083364,195,37038004,"N35.1",356,"Urolophus paucimaculatus","Sparsely-spotted Stingaree","Urolophus paucimaculatus"
"196",10083361,196,37038004,"N35.1",304,"Urolophus paucimaculatus","Sparsely-spotted Stingaree","Urolophus paucimaculatus"
"197",10083391,197,37038004,"N35.1",347,"Urolophus paucimaculatus","Sparsely-spotted Stingaree","Urolophus paucimaculatus"
"198",10082856,198,37296001,"N33.3",494,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"199",10082891,199,37296001,"N33.3",611,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"200",10082871,200,37296001,"N33.3",421,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"201",10083434,201,37296001,"N35.1",320,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"202",10084090,202,37296001,"N35.1",342,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"203",10084075,203,37296001,"N35.3",371,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"204",10084108,204,37296001,"N35.3",462,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"205",10084131,205,37296001,"N35.3",411,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"206",10083780,206,37439002,"N35.2",281,"Rexea solandri","Gemfish","Rexea solandri"
"207",10084117,207,37296001,"N35.1",248,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_sm"
"208",10083379,208,37296001,"N35.1",239,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_sm"
"209",10083497,209,37296001,"N35.1",220,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_sm"
"210",10083657,210,37296001,"N35.2",250,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_sm"
"211",10083659,211,37296001,"N35.2",298,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_sm"
"212",10083655,212,37296001,"N35.2",373,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"213",10083755,213,37445006,"N35.2",195,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"214",10083459,214,37445006,"N35.2",185,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"215",10083620,215,37445006,"N35.2",196,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"216",10083608,216,37296001,"N35.2",494,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"217",10083781,217,37296001,"N35.2",304,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"218",10083464,218,37296001,"N35.1",303,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"219",10083530,219,37465006,"N35.1",220,"Nelusetta ayraud","Ocean Jacket","Nelusetta ayraud"
"220",10083660,220,37038004,"N35.3",283,"Urolophus paucimaculatus","Sparsely-spotted Stingaree","Urolophus paucimaculatus"
"221",10083565,221,37038004,"N35.3",333,"Urolophus paucimaculatus","Sparsely-spotted Stingaree","Urolophus paucimaculatus"
"222",10082896,222,37287001,"N35.3",206,"Helicolenus percoides","Reef Ocean Perch","Helicolenus percoides"
"223",10084169,223,37287001,"N35.3",172,"Helicolenus percoides","Reef Ocean Perch","Helicolenus percoides"
"224",10084058,224,37287001,"N35.3",200,"Helicolenus percoides","Reef Ocean Perch","Helicolenus percoides"
"225",10084109,225,37287001,"N35.3",208,"Helicolenus percoides","Reef Ocean Perch","Helicolenus percoides"
"226",10083441,226,37287001,"N35.2",162,"Helicolenus percoides","Reef Ocean Perch","Helicolenus percoides"
"227",10083389,227,37287001,"N35.2",177,"Helicolenus percoides","Reef Ocean Perch","Helicolenus percoides"
"228",10083388,228,37287001,"N35.2",185,"Helicolenus percoides","Reef Ocean Perch","Helicolenus percoides"
"229",10083419,229,37287001,"N35.2",179,"Helicolenus percoides","Reef Ocean Perch","Helicolenus percoides"
"230",10083774,230,37296001,"N31.3",550,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"231",10083716,231,37296001,"N31.3",529,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"232",10083867,232,37439002,"N31.1",256,"Rexea solandri","Gemfish","Rexea solandri"
"233",10083986,233,37439002,"N31.1",261,"Rexea solandri","Gemfish","Rexea solandri"
"234",10083975,234,37227001,"N31.2",418,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"235",10084036,235,37227001,"N31.2",460,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"236",10083928,236,37439002,"N31.1",249,"Rexea solandri","Gemfish","Rexea solandri"
"237",10083993,237,37296001,"N31.3",578,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"238",10084049,238,37296001,"N27.1",392,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"239",10084264,239,37439002,"N27.2",270,"Rexea solandri","Gemfish","Rexea solandri"
"240",10083931,240,37445006,"N31.3",277,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"241",10084021,241,37445006,"N31.3",258,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"242",10083900,242,37439002,"N27.1",264,"Rexea solandri","Gemfish","Rexea solandri"
"243",10083999,243,37439002,"N27.1",286,"Rexea solandri","Gemfish","Rexea solandri"
"244",10083872,244,37439002,"N27.1",264,"Rexea solandri","Gemfish","Rexea solandri"
"245",10084202,245,37445006,"N27.2",193,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"246",10084031,246,37445006,"N27.1",227,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"247",10084263,247,37445006,"N27.2",199,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"248",10084170,248,37445006,"N27.2",200,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"249",10083594,249,37038004,"N35.2",346,"Urolophus paucimaculatus","Sparsely-spotted Stingaree","Urolophus paucimaculatus"
"250",10083686,250,NA,NA,NA,NA,NA,NA
"251",10083395,251,NA,NA,NA,NA,NA,NA
"252",10083672,252,NA,NA,NA,NA,NA,NA
"253",10083465,253,NA,NA,NA,NA,NA,NA
"254",10083425,254,NA,NA,NA,NA,NA,NA
"255",10083430,255,NA,NA,NA,NA,NA,NA
